frequency,region,application,bandwidth,% of regional bandwidth,hd,sessions,% of regional sessions,category,profitability,subcategory,technology,risk,ports
0.045,global,Becton Dickinson,22045972991,0,7,145708,0,ratio-d,metric-e,instant-messaging,measure-1,2,"tcp/5222, 80"
0.112,global,CIGNA Corp.,2531988719,0,1,352829,0,ratio-d,metric-e,instant-messaging,measure-1,2,"tcp/5222, 80"
0.036,global,Yahoo Inc.,249271946,0,0,30478,0,ratio-d,metric-e,instant-messaging,measure-1,1,tcp/25999
0.005,global,Chubb Limited,128004900,0,0,1202,0,ratio-d,metric-e,instant-messaging,measure-1,4,tcp/5222
0.018,global,Emerson Electric Company,42456807,0,0,6429,0,ratio-d,metric-e,instant-messaging,measure-1,1,"tcp/443, 10002"
0.31,global,Costco Co.,2149142,0,0,1850,0,ratio-d,metric-e,instant-messaging,measure-3,1,"tcp/19771, udp/dynamic"
0.214,global,Reynolds American Inc.,5687180368,0,2,1363,0,ratio-d,metric-e,internet-conferencing,measure-1,4,"tcp/407, udp/407"
0.005,global,Express Scripts,872489198,0,0,369098,0,ratio-c,metric-e,internet-utility,measure-1,1,tcp/43
0.264,global,Carnival Corp.,247369,0,0,62455,0,ratio-c,metric-e,internet-utility,measure-3,5,"tcp/27665, udp/27444, 31335"
0.029,global,General Electric,30232807955,0,10,50394,0,ratio-c,metric-e,internet-utility,measure-5,4,tcp/119
0.033,global,AT&T Inc,14572356863,0,5,12152712,0,ratio-c,metric-e,internet-utility,measure-5,1,tcp/1666
0.001,global,BIOGEN IDEC Inc.,5.90E+12,0,1967,633640,0,ratio-c,metric-e,internet-utility,measure-5,5,tcp/119
0.015,global,Murphy Oil,17938296,0,0,111186,0,ratio-c,metric-e,internet-utility,measure-1,2,"tcp/79, udp/79"
0.034,global,PNC Financial Services,2.80E+11,0,93,35137501,0,ratio-c,metric-e,internet-utility,measure-1,1,"tcp/5223, 443"
0.005,global,3M Company,9.03E+12,0.001,3009,117659896,0.001,ratio-e,metric-e,management,measure-1,3,tcp/9100
0.042,global,Procter & Gamble,6256636255,0,2,28556048,0,ratio-e,metric-e,management,measure-1,2,"tcp/37, udp/37"
0.027,global,Phillips 66,1224515402,0,0,785358,0,ratio-e,metric-e,management,measure-1,1,tcp/1688
0.051,global,Applied Materials Inc,22878662332,0,8,18587558,0,ratio-e,metric-e,management,measure-1,3,"tcp/7, udp/7"
0.287,global,Thermo Fisher Scientific,4.41E+13,0.003,14715,186553,0,ratio-e,metric-e,management,measure-1,2,"tcp/902, 80, udp/902"
0.004,global,Danaher Corp.,1803679360,0,1,3646904,0,ratio-e,metric-e,management,measure-1,1,"tcp/9, udp/9"
0.253,global,Adobe Systems Inc,46314637306,0,15,4265328,0,ratio-e,metric-e,management,measure-1,2,tcp/445
0.911,global,Wal-Mart Stores,1.02E+11,0,34,2943127,0,ratio-e,metric-e,management,measure-1,2,"tcp/631, udp/631"
0.142,global,FLIR Systems,90232439488,0,30,22889456,0,ratio-e,metric-e,management,measure-1,1,tcp/402
0.022,global,Unum Group,6.15E+12,0,2051,9595647,0,ratio-e,metric-e,management,measure-1,1,"tcp/524, udp/524"
0.028,global,Comerica Inc.,69376173055,0,23,153629,0,ratio-e,metric-e,management,measure-1,1,tcp/18190
0.526,global,Jacobs Engineering Group,13710314131,0,5,3753998,0,ratio-e,metric-e,management,measure-4,1,"tcp/47808, udp/47808"
0.002,global,Cabot Oil & Gas,37231975852,0,12,12965403,0,ratio-e,metric-e,management,measure-1,1,tcp/2033
0.933,global,Coach Inc.,1.02E+11,0,34,7828215,0,ratio-e,metric-e,management,measure-1,1,tcp/1745
0.91,global,Nielsen Holdings,2.84E+12,0,946,678314,0,ratio-e,metric-e,management,measure-1,1,"tcp/2967, udp/2967"
0.005,global,Equifax Inc.,8.11E+11,0,270,34765923,0,ratio-e,metric-e,management,measure-1,1,tcp/1984
0.942,global,"United Rentals, Inc.",1516085710,0,1,49032,0,ratio-e,metric-e,management,measure-1,2,"tcp/135, 445"
0.691,global,The Bank of New York Mellon Corp.,264056649,0,0,59765,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.156,global,Scripps Networks Interactive Inc.,821799495,0,0,1012,0,ratio-e,metric-e,management,measure-4,1,tcp/20000
0.003,global,Perrigo,18611975208,0,6,9546169,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.215,global,Urban Outfitters,324371556,0,0,25103,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.004,global,News Corp. Class B,3742108979,0,1,981550,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.004,global,Foot Locker Inc,1319123739,0,0,302456,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.002,global,Expeditors Int'l,1410288634,0,0,35069,0,ratio-e,metric-e,management,measure-4,1,"tcp/19, udp/19"
0.003,global,Arthur J. Gallagher & Co.,4255756165,0,1,920,0,ratio-e,metric-e,management,measure-1,1,"tcp/2887, udp/2887"
0.008,global,SCANA Corp,2.31E+11,0,77,3444979,0,ratio-e,metric-e,management,measure-1,1,tcp/3133
0.005,global,General Dynamics,974350210,0,0,960,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.043,global,Prudential Financial,23960657,0,0,1937,0,ratio-e,metric-e,management,measure-2,1,"tcp/712, 7222"
0.09,global,Extra Space Storage,2941273010,0,1,14891,0,ratio-e,metric-e,management,measure-2,1,"tcp/9091, 9092"
0.01,global,PerkinElmer,2825672793,0,1,591047,0,ratio-e,metric-e,management,measure-2,1,"tcp/17472, 8080, 8081"
0.005,global,Mallinckrodt Plc,236218463,0,0,267,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.043,global,United Technologies,79213995,0,0,457,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.04,global,EOG Resources,31537,0,0,14,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.007,global,Duke Energy,9530727,0,0,3,0,ratio-e,metric-e,management,measure-4,2,tcp/502
0.013,global,Twenty-First Century Fox Class A,80346970,0,0,49714,0,ratio-e,metric-e,management,measure-1,1,"tcp/7220, tcp/7223, tcp/7229"
0.427,global,Caterpillar Inc.,18026771,0,0,2,0,ratio-e,metric-e,management,measure-2,1,tcp/19150
0.847,global,General Motors,3.04E+13,0.002,10124,1943961,0,ratio-b,metric-e,photo-video,measure-2,3,"tcp/554, udp/554"
0.059,global,Twenty-First Century Fox Class B,4.33E+11,0,144,630039,0,ratio-b,metric-e,photo-video,measure-2,3,tcp/1755
0.976,global,Charles Schwab Corporation,9813442088,0,3,911,0,ratio-b,metric-e,photo-video,measure-2,2,tcp/1935
0.106,global,Simon Property Group Inc,1435388644,0,0,621,0,ratio-b,metric-e,photo-video,measure-2,2,tcp/6970
0.002,global,TJX Companies Inc.,342169,0,0,54,0,ratio-b,metric-e,photo-video,measure-2,1,tcp/7070
0.006,global,Dominion Resources,3.03E+12,0,1010,2071130,0,ratio-a,metric-e,remote-access,measure-2,5,"tcp/5500, tcp/5900, 5901"
0.004,global,Kimberly-Clark,5242029179,0,2,527172,0,ratio-a,metric-e,remote-access,measure-4,4,tcp/1723
0.016,global,Automatic Data Processing,8.39E+11,0,280,41816,0,ratio-a,metric-e,remote-access,measure-3,2,"tcp/5900, 5901"
0.082,global,Berkshire Hathaway,98096922650,0,33,2086359,0,ratio-a,metric-e,remote-access,measure-3,2,"tcp/5631, tcp/65301, udp/22, udp/5632"
0.007,global,Total System Services,625392567,0,0,501168,0,ratio-a,metric-e,remote-access,measure-3,3,"tcp/177, udp/177"
0.202,global,FedEx Corporation,2.13E+11,0,71,4184,0,ratio-a,metric-e,remote-access,measure-3,2,"tcp/5900, 5901"
0.03,global,Monsanto Co.,5.71E+12,0,1903,1143789,0,ratio-a,metric-e,remote-access,measure-3,1,"tcp/4172, 50002, udp/4172, 50002"
0.02,global,Southern Co.,1.23E+12,0,411,20641,0,ratio-a,metric-e,remote-access,measure-3,3,"tcp/139, 6129"
0.564,global,Illinois Tool Works,2.38E+12,0,793,6469964,0,ratio-a,metric-e,remote-access,measure-3,4,tcp/4899
0.653,global,Bard (C.R.) Inc.,4.34E+12,0,1446,802922,0,ratio-a,metric-e,remote-access,measure-3,5,tcp/6000
0.005,global,E*Trade,9661838699,0,3,124358,0,ratio-a,metric-e,remote-access,measure-3,1,"tcp/7615, 80, 443"
0.01,global,Northrop Grumman Corp.,699962147,0,0,17623,0,ratio-a,metric-e,remote-access,measure-2,5,tcp/5800
0.072,global,Ford Motor,2875653229,0,1,2746,0,ratio-a,metric-e,remote-access,measure-3,2,"tcp/443, 8200"
0.473,global,Aetna Inc,50713067881,0,17,92405,0,ratio-a,metric-e,remote-access,measure-3,3,"tcp/6502, udp/6502"
0.168,global,CME Group Inc.,71299103300,0,24,6196,0,ratio-a,metric-e,remote-access,measure-3,2,tcp/5631
0.069,global,CMS Energy,2415304603,0,1,193713,0,ratio-a,metric-e,remote-access,measure-3,1,tcp/24800
0.231,global,Xerox Corp.,4909519026,0,2,258,0,ratio-a,metric-e,remote-access,measure-1,3,"tcp/5900, 5901"
0.004,global,Snap-On Inc.,25689412,0,0,584,0,ratio-a,metric-e,remote-access,measure-4,1,tcp/7100
0.302,global,DTE Energy Co.,528279456,0,0,72309,0,ratio-a,metric-e,remote-access,measure-1,1,tcp/52300
0.06,global,Ball Corp,1006295465,0,0,19004,0,ratio-a,metric-e,routing,measure-4,2,"tcp/179, udp/179"
0.136,global,Church & Dwight,1.02E+11,0,34,26412551,0,ratio-e,metric-e,software-update,measure-4,1,"tcp/744, udp/744"
0.122,global,AMETEK Inc,3.79E+11,0,126,39592730,0,ratio-e,metric-e,software-update,measure-4,3,"tcp/443, 2984, 6457"
0.077,global,Citrix Systems,1339714526,0,0,29904,0,ratio-e,metric-e,software-update,measure-4,1,tcp/3025
0.004,global,Garmin Ltd.,5380,0,0,6,0,ratio-e,metric-e,software-update,measure-4,1,tcp/5005
0.041,global,Symantec Corp.,3.35E+12,0,1117,595269,0,ratio-e,metric-e,storage-backup,measure-4,3,"tcp/548, udp/548"
0.521,global,Mettler Toledo,1.57E+12,0,524,178816,0,ratio-e,metric-e,storage-backup,measure-4,2,tcp/16384
0.066,global,Motorola Solutions Inc.,3.32E+11,0,111,248759,0,ratio-e,metric-e,storage-backup,measure-4,4,"tcp/443, 4282"
0.007,global,IDEXX Laboratories,64482152233,0,21,276259,0,ratio-e,metric-e,storage-backup,measure-4,1,"tcp/139, 5555, 137"
0.006,global,Lincoln National,1.01E+13,0.001,3354,99262,0,ratio-e,metric-e,storage-backup,measure-4,3,tcp/3260
0.006,global,Noble Energy Inc,33942842912,0,11,1470,0,ratio-e,metric-e,storage-backup,measure-4,3,tcp/5999
0.009,global,Ameren Corp,1.02E+13,0.001,3393,731521,0,ratio-e,metric-e,storage-backup,measure-4,2,"tcp/28001, 28002, 9443, 27000, 29000, 7778, 7779, 8778-8781, 8181, 8444, 8543, 8580"
0.039,global,Henry Schein,1.88E+13,0.001,6253,1555948,0,ratio-e,metric-e,storage-backup,measure-4,3,"tcp/20031, udp/20031"
0.004,global,Regency Centers Corporation,6.88E+11,0,229,712953,0,ratio-e,metric-e,storage-backup,measure-4,1,tcp/3218
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
